Série,Tome,Titre,Sous-titre,Auteurs,Editeurs
Le combat ordinaire,1,Le combat ordinaire,,Manu Larcenet,Dargaud
Le combat ordinaire,2,Les quantités négligeables,,Manu Larcenet,Dargaud
Le combat ordinaire,3,Ce qui est précieux,,Manu Larcenet,Dargaud
Le combat ordinaire,4,Planter des clous,,Manu Larcenet,Dargaud
Le régulateur,1,Ambrosia,,"Corbeyran, Moreno",Delcourt
Le régulateur,2,Hestia,,"Corbeyran, Moreno",Delcourt
Le régulateur,3,Ophidia,,"Corbeyran, E.Moreno, M.Moreno",Delcourt
Le régulateur,4,666 I.A.,,"Corbeyran, E.Moreno, M.Moreno",Delcourt
Largo Winch,1,L'héritier,,"Francq, Van Hamme",Dupuis
Largo Winch,2,Le groupe W,,"Francq, Van Hamme",Dupuis
Largo Winch,3,O.P.A,,"Francq, Van Hamme",Dupuis
Largo Winch,4,Business Blues,,"Francq, Van Hamme",Dupuis
Largo Winch,5,H,,"Francq, Van Hamme",Dupuis
Largo Winch,6,Dutch connection,,"Francq, Van Hamme",Dupuis
Largo Winch,7,La forteresse de Makiling,,"Francq, Van Hamme",Dupuis
Largo Winch,8,L'heure du tigre,,"Francq, Van Hamme",Dupuis
Largo Winch,9,"Voir Venise,,,",,"Francq, Van Hamme",Dupuis
Largo Winch,10,",,, Et mourir",,"Francq, Van Hamme",Dupuis
Largo Winch,11,Golden Gate,,"Francq, Van Hamme",Dupuis
Largo Winch,12,Shadow,,"Francq, Van Hamme",Dupuis
Largo Winch,13,Le prix de l'argent,,"Francq, Van Hamme",Dupuis
Largo Winch,14,La loi du Dollar,,"Francq, Van Hamme",Dupuis
Largo Winch,15,Les trois yeux des gardiens du Tao,,"Francq, Van Hamme",Dupuis
Largo Winch,16,La voie et la vertu,,"Francq, Van Hamme",Dupuis
Largo Winch,17,Mer noire,,"Francq, Van Hamme",Dupuis
Largo Winch,18,Colère rouge,,"Francq, Van Hamme",Dupuis
La trilogie Nikopol,,"Intégrale (1,2,3)","La foire aux immortels, La femme piège,Froid équateur",Enki Bilal,Les humanoïdes associés
Le sommeil du monstre,1,Le sommeil du monstre,,Enki Bilal,Les humanoïdes associés
Le sommeil du monstre,2,32 décembre,,Enki Bilal,Les humanoïdes associés
Le sommeil du monstre,3,Rendez-vous à Paris,,Enki Bilal,Les humanoïdes associés
Le sommeil du monstre,4,Quatre ?,,Enki Bilal,Les humanoïdes associés
Les compagnons du crépuscule,1,le sortilège des brois des brumes,,Bourgeon,Casterman
Les compagnons du crépuscule,2,Les yeux d'étain de la ville glauque,,Bourgeon,Casterman
Les compagnons du crépuscule,3,Le dernier champ des Maleterre,,Bourgeon,Casterman
Le cycle de Cyan,1,La sOurce et la sOnde,,"Bourgeon, Lacroix",Casterman
Le cycle de Cyan,2,Six saisons sur ilO,,"Bourgeon, Lacroix",Casterman
Le cycle de Cyan,3,Aïeïa D'Aldaal,,"Bourgeon, Lacroix",Vents d'Ouest
Le cycle de Cyan,4,Les couleurs de Marcade,,"Bourgeon, Lacroix",Vents d'Ouest
Tatanka,1,Tatanka,,"Callède, Séjourné, Verney",Delcourt
Tatanka,2,Contamination,,"Callède, Séjourné, Verney",Delcourt
Tatanka,3,Mutation,,"Callède, Séjourné, Verney",Delcourt
Tatanka,4,Infiltration,,"Callède, Séjourné, Verney",Delcourt
Tatanka,5,Cobayes,,"Callède, Séjourné, Verney",Delcourt
Phénoménum,1,Opus 0,,"Kaminka, Vedrines",Glénat
Phénoménum,2,Opus 1 : Futur antérieur,,"Kaminka, Vedrines",Glénat
Phénoménum,3,Opus 2 : Passé composé,,"Kaminka, Vedrines",Glénat
